Bin,Frequency_Hz,Power
883,3449.22,0.106571
884,3453.12,0.108281
885,3457.03,0.141195
886,3460.94,0.143999
887,3464.84,0.135249
888,3468.75,0.126017
889,3472.66,0.139185
890,3476.56,0.139967
891,3480.47,0.127772
892,3484.38,0.120335
893,3488.28,0.102826
894,3492.19,0.098290
895,3496.09,0.098279
896,3500.00,0.116719
897,3503.91,0.123888
898,3507.81,0.110669
899,3511.72,0.136788
900,3515.62,0.104387
901,3519.53,0.112420
902,3523.44,0.130061
903,3527.34,0.113195
904,3531.25,0.115286
905,3535.16,0.128889
906,3539.06,0.110672
907,3542.97,0.108120
908,3546.88,0.107674
909,3550.78,0.104242
910,3554.69,0.100226
911,3558.59,0.096320
912,3562.50,0.101311
913,3566.41,0.111371
914,3570.31,0.104879
915,3574.22,0.089676
916,3578.12,0.091194
917,3582.03,0.090012
918,3585.94,0.089844
919,3589.84,0.083553
920,3593.75,0.075089
921,3597.66,0.073689
922,3601.56,0.079291
923,3605.47,0.068542
924,3609.38,0.075563
925,3613.28,0.079397
926,3617.19,0.092748
927,3621.09,0.075143
928,3625.00,0.064871
929,3628.91,0.054867
930,3632.81,0.068488
931,3636.72,0.075981
932,3640.62,0.064156
933,3644.53,0.057937
934,3648.44,0.066146
935,3652.34,0.062083
936,3656.25,0.059083
937,3660.16,0.056725
938,3664.06,0.058847
939,3667.97,0.059588
940,3671.88,0.057006
941,3675.78,0.060763
942,3679.69,0.057717
943,3683.59,0.057858
944,3687.50,0.042734
945,3691.41,0.048040
946,3695.31,0.044725
947,3699.22,0.039968
948,3703.12,0.036987
949,3707.03,0.041810
950,3710.94,0.045473
951,3714.84,0.044159
952,3718.75,0.050277
953,3722.66,0.055580
954,3726.56,0.054007
955,3730.47,0.053839
956,3734.38,0.047677
957,3738.28,0.034086
958,3742.19,0.037752
959,3746.09,0.036919
960,3750.00,0.038740
961,3753.91,0.037922
962,3757.81,0.040394
963,3761.72,0.046191
964,3765.62,0.039095
965,3769.53,0.039854
966,3773.44,0.039596
967,3777.34,0.037266
968,3781.25,0.036421
969,3785.16,0.035667
970,3789.06,0.035960
971,3792.97,0.038408
972,3796.88,0.036939
973,3800.78,0.033347
